county,fips,svprec_key,cddist,sddist,bedist,totreg,totvote,demvote,repvote
1,6001,6001362200,12,7,2,2079,179,109,0
1,6001,6001362220,12,7,2,28,2,NA,NA
1,6001,6001362500,12,7,2,1119,124,86,0
1,6001,6001362510,12,7,2,1637,129,81,0
1,6001,6001362600,12,7,2,3756,263,175,0
1,6001,6001362800,12,7,2,2036,167,103,0
1,6001,6001363000,12,7,2,2753,251,164,0
1,6001,6001363200,12,7,2,2482,243,153,0
1,6001,6001364020,12,7,2,11,1,NA,NA
1,6001,6001364200,12,7,2,1308,48,26,0
1,6001,6001364310,12,7,2,3063,216,114,0
1,6001,6001364510,12,7,2,923,56,37,0
1,6001,6001364600,12,7,2,1502,139,75,0
1,6001,6001364800,12,7,2,1748,143,99,0
1,6001,6001365100,12,7,2,3681,316,198,0
1,6001,6001365200,12,7,2,2702,264,157,0
1,6001,6001373010,12,7,2,1,1,NA,NA
1,6001,6001373100,12,7,2,872,87,46,0
1,6001,6001380300,12,7,2,3273,418,263,0
1,6001,6001380400,12,7,2,3913,482,261,0
1,6001,6001400100,12,7,2,757,45,22,0
1,6001,6001400200,12,7,2,2388,154,96,0
1,6001,6001400300,12,7,2,2046,156,98,0
1,6001,6001401200,12,7,2,509,46,32,0
1,6001,6001410500,12,7,2,5878,536,314,0
1,6001,6001410700,12,7,2,4999,453,305,0
1,6001,6001415300,12,7,2,2184,199,112,0
1,6001,6001415800,12,7,2,3911,376,223,0
1,6001,6001420030,14,10,2,138,8,NA,NA
1,6001,6001420220,14,10,2,24,3,NA,NA
1,6001,6001420250,14,10,2,1692,125,65,43
1,6001,6001420300,14,10,2,210,12,7,2
1,6001,6001420310,14,10,2,40,3,NA,NA
1,6001,6001420710,14,10,2,61,6,NA,NA
1,6001,6001420800,14,10,2,677,38,20,14
1,6001,6001420900,14,10,2,2131,184,104,64
1,6001,6001421800,14,10,2,4910,525,293,167
1,6001,6001422000,14,10,2,4649,342,181,122
1,6001,6001422300,14,10,2,4021,356,192,134
1,6001,6001422600,14,10,2,5448,399,215,128
1,6001,6001422920,14,10,2,4925,406,188,178
1,6001,6001423000,14,10,2,4429,417,220,151
1,6001,6001423710,14,10,2,3198,296,159,107
1,6001,6001423800,14,10,2,6,1,NA,NA
1,6001,6001424200,14,10,2,79,3,NA,NA
1,6001,6001424310,14,10,2,39,6,NA,NA
1,6001,6001424510,14,10,2,265,22,14,6
1,6001,6001424600,14,10,2,2944,390,212,147
1,6001,6001430100,14,10,2,384,31,14,10
1,6001,6001430400,14,10,2,597,46,31,8
1,6001,6001430430,14,10,2,138,10,7,3
1,6001,6001430600,14,10,2,2981,299,181,85
1,6001,6001430700,14,10,2,511,30,17,12
1,6001,6001430720,14,10,2,183,14,7,4
1,6001,6001430800,14,10,2,1008,119,87,23
1,6001,6001431100,14,10,2,1697,151,80,55
1,6001,6001431110,14,10,2,14,1,NA,NA
1,6001,6001431120,14,10,2,6,2,NA,NA
1,6001,6001431300,14,10,2,118,7,NA,NA
1,6001,6001431500,14,10,2,202,15,13,1
1,6001,6001431610,14,10,2,44,2,NA,NA
1,6001,6001431700,14,10,2,250,15,9,5
1,6001,6001431730,14,10,2,82,7,NA,NA
1,6001,6001431800,14,10,2,1697,136,82,46
1,6001,6001432100,14,10,2,4478,401,231,128
1,6001,6001432200,14,10,2,5929,561,315,193
1,6001,6001432600,14,10,2,4459,403,218,147
1,6001,6001432810,14,10,2,5004,535,328,153
1,6001,6001432900,14,10,2,4553,474,261,166
1,6001,6001433200,14,10,2,3018,421,266,122
1,6001,6001433400,14,10,2,3432,235,127,92
1,6001,6001433630,14,10,2,1340,93,44,41
1,6001,6001433800,14,10,2,781,44,18,22
1,6001,6001438500,14,10,2,8,1,NA,NA
1,6001,6001440200,14,9,2,2398,188,79,90
1,6001,6001440210,14,9,2,127,8,NA,NA
1,6001,6001440300,14,9,2,4418,345,177,135
1,6001,6001440900,14,9,2,3072,322,161,143
1,6001,6001441300,14,9,2,936,84,38,37
1,6001,6001442000,14,9,2,563,59,34,21
1,6001,6001442200,14,9,2,1932,137,69,56
1,6001,6001443000,14,9,2,1580,158,87,57
1,6001,6001443100,14,9,2,4643,387,215,132
1,6001,6001443500,14,9,2,4042,355,225,93
1,6001,6001443700,14,9,2,488,30,12,15
1,6001,6001443800,14,9,2,348,14,7,3
1,6001,6001447100,14,9,2,34,2,NA,NA
1,6001,6001447200,14,9,2,1016,98,48,40
1,6001,6001447300,14,9,2,332,32,13,14
1,6001,6001447510,14,9,2,41,2,NA,NA
1,6001,6001447600,14,9,2,1872,162,100,46
1,6001,6001447700,14,9,2,416,46,23,17
1,6001,6001447730,14,9,2,73,4,NA,NA
1,6001,6001450200,14,9,2,1876,124,58,51
1,6001,6001450500,14,9,2,3492,315,150,121
1,6001,6001450610,12,9,2,1061,90,17,0
1,6001,6001450800,12,9,2,1398,93,24,0
1,6001,6001450930,12,9,2,6,1,NA,NA
1,6001,6001451000,12,9,2,1326,107,32,0
1,6001,6001451600,12,9,2,2559,205,56,0
1,6001,6001451900,12,9,2,1400,88,17,0
1,6001,6001452400,12,9,2,4268,407,127,0
1,6001,6001453200,12,9,2,24,4,NA,NA
1,6001,6001453300,12,9,2,887,60,15,0
1,6001,6001453500,12,9,2,2548,185,42,0
1,6001,6001453600,12,9,2,643,55,27,0
1,6001,6001453900,14,9,2,591,36,17,17
1,6001,6001453920,14,9,2,1043,98,52,32
1,6001,6001453940,14,9,2,1246,114,57,33
1,6001,6001454100,12,9,2,83,4,NA,NA
1,6001,6001454220,14,9,2,68,7,NA,NA
1,6001,6001454500,14,9,2,1037,112,54,45
1,6001,6001454520,12,9,2,4,4,NA,NA
1,6001,6001454700,12,9,2,378,20,4,0
1,6001,6001455100,12,9,2,843,71,26,0
1,6001,6001455300,12,9,2,2242,209,72,0
1,6001,6001455400,12,9,2,2367,198,83,0
1,6001,6001455700,12,9,2,565,32,12,0
1,6001,6001456100,12,9,2,2124,175,57,0
1,6001,6001456200,12,9,2,2275,221,82,0
1,6001,6001456500,12,9,2,796,63,17,0
1,6001,6001456610,14,9,2,16,2,NA,NA
1,6001,6001456620,12,9,2,58,4,NA,NA
1,6001,6001456700,14,9,2,1657,96,59,27
1,6001,6001456910,14,9,2,213,12,6,3
1,6001,6001457300,12,9,2,3179,290,118,0
1,6001,6001457500,12,9,2,2826,234,97,0
1,6001,6001458400,12,9,2,2946,203,67,0
1,6001,6001458800,12,9,2,2432,179,56,0
1,6001,6001458900,12,9,2,890,80,27,0
1,6001,6001464500,14,9,2,66,4,NA,NA
1,6001,6001464660,14,9,2,181,18,4,9
1,6001,6001464670,14,9,2,42,4,NA,NA
1,6001,6001470100,14,9,2,219,14,7,6
1,6001,6001470600,14,9,2,2351,173,84,73
1,6001,6001470700,14,9,2,491,59,35,16
1,6001,6001470800,14,9,2,1381,143,69,60
1,6001,6001471900,14,9,2,3505,264,138,107
1,6001,6001472200,14,9,2,2974,310,161,118
1,6001,6001472300,14,9,2,2343,218,111,85
1,6001,6001472610,14,9,2,3282,242,105,121
1,6001,6001473010,14,9,2,3253,220,83,121
1,6001,6001473900,14,9,2,1833,119,53,56
1,6001,6001474010,14,9,2,1284,119,53,60
1,6001,6001474200,14,9,2,2203,201,78,111
1,6001,6001474600,14,9,2,3965,303,117,155
1,6001,6001475020,14,9,2,434,25,15,7
1,6001,6001475100,14,9,2,1354,83,28,53
1,6001,6001475200,14,9,2,1174,80,31,44
1,6001,6001475500,14,9,2,3526,387,198,160
1,6001,6001476100,14,9,2,2455,166,93,65
1,6001,6001481200,14,9,2,2247,219,109,88
1,6001,6001481500,14,9,2,3387,324,169,111
1,6001,6001481900,14,9,2,765,87,58,21
1,6001,6001481940,14,9,2,18,6,NA,NA
1,6001,6001482000,14,9,2,229,21,15,6
1,6001,6001482050,14,9,2,16,4,NA,NA
1,6001,6001483000,14,9,2,3030,282,134,117
1,6001,6001490040,14,10,2,111,11,3,7
1,6001,6001490100,14,10,2,64,3,NA,NA
1,6001,6001491000,14,10,2,2807,264,157,82
1,6001,6001491300,14,10,2,3295,317,173,120
1,6001,6001491600,14,10,2,1156,125,61,51
1,6001,6001491630,14,10,2,149,8,NA,NA
1,6001,6001492000,14,9,2,165,10,4,6
1,6001,6001498300,14,10,2,72,2,NA,NA
1,6001,6001500110,14,5,2,5829,668,239,388
1,6001,6001500200,14,5,2,4300,532,193,301
1,6001,6001500300,14,5,2,3880,320,141,154
1,6001,6001500350,14,5,2,4739,431,163,243
1,6001,6001500800,14,5,2,4194,409,163,214
1,6001,6001501410,14,5,2,1638,191,64,116
1,6001,6001501420,14,5,2,2288,232,102,120
1,6001,6001501610,14,5,2,5584,482,169,292
1,6001,6001501900,14,5,2,59,6,NA,NA
1,6001,6001501910,14,5,2,4327,423,145,254
1,6001,6001502020,14,5,2,3903,347,99,229
1,6001,6001502300,14,5,2,3785,314,121,166
1,6001,6001502500,14,5,2,5157,596,262,284
1,6001,6001502740,14,5,2,3179,285,105,148
1,6001,6001502900,14,5,2,4865,517,195,277
1,6001,6001510100,14,5,2,248,17,3,11
1,6001,6001510120,14,5,2,6,2,NA,NA
1,6001,6001510300,14,5,2,587,44,7,31
1,6001,6001510400,14,5,2,147,8,NA,NA
1,6001,6001510500,14,5,2,586,36,9,23
1,6001,6001510840,14,5,2,121,7,NA,NA
1,6001,6001520000,14,5,2,1197,117,39,74
1,6001,6001520110,14,5,2,1993,161,74,81
1,6001,6001520220,14,5,2,2873,240,116,112
1,6001,6001520230,14,5,2,1408,145,63,76
1,6001,6001520240,14,5,2,1638,142,55,77
1,6001,6001520250,14,5,2,469,34,12,20
1,6001,6001520400,14,5,2,1284,113,45,67
1,6001,6001520410,14,5,2,128,1,NA,NA
1,6001,6001520500,14,5,2,4135,409,191,193
1,6001,6001520510,14,5,2,559,43,9,32
1,6001,6001520600,14,5,2,430,37,19,17
1,6001,6001520630,14,5,2,689,91,36,46
1,6001,6001520640,14,5,2,2104,227,113,101
1,6001,6001520710,14,5,2,1264,116,47,66
1,6001,6001520720,14,5,2,85,5,NA,NA
1,6001,6001520760,14,5,2,1342,132,73,52
1,6001,6001520810,14,5,2,1899,168,80,77
1,6001,6001520850,14,5,2,1016,97,35,59
1,6001,6001520860,14,5,2,2766,351,188,135
1,6001,6001521200,14,5,2,1869,144,64,71
1,6001,6001521500,14,5,2,2833,258,130,119
1,6001,6001522010,14,5,2,3027,253,108,128
1,6001,6001522100,14,5,2,2854,270,114,151
1,6001,6001522160,14,5,2,594,51,21,26
1,6001,6001522180,14,5,2,1759,154,67,73
1,6001,6001523100,14,5,2,574,40,24,14
1,6001,6001523120,14,5,2,792,6,NA,NA
1,6001,6001523200,14,5,2,2769,234,111,105
1,6001,6001523700,14,5,2,2942,229,96,117
1,6001,6001523720,14,5,2,1081,70,34,36
1,6001,6001535300,14,5,2,98,13,2,11
1,6001,6001535400,14,10,2,11,1,NA,NA
1,6001,6001540400,14,5,2,921,93,40,48
1,6001,6001540600,14,5,2,3624,410,216,168
1,6001,6001540700,14,5,2,3758,393,167,206
1,6001,6001542000,10,5,2,2129,210,86,105
1,6001,6001542100,10,5,2,480,61,25,28
1,6001,6001542300,14,5,2,249,26,12,12
1,6001,6001542310,14,5,2,81,14,3,9
1,6001,6001543300,14,5,2,1741,169,66,84
1,6001,6001544200,10,5,2,964,123,74,41
1,6001,6001545500,10,5,2,2611,288,148,95
1,6001,6001546010,10,5,2,4,1,NA,NA
1,6001,6001546100,10,5,2,3826,444,235,193
1,6001,6001546200,10,5,2,3118,482,264,178
1,6001,6001546710,10,5,2,203,21,7,13
1,6001,6001547720,10,5,2,4290,464,237,195
1,6001,6001547760,10,5,2,2917,363,177,163
1,6001,6001547770,10,5,2,2332,304,153,136
1,6001,6001547900,10,5,2,2797,298,156,131
1,6001,6001547910,10,5,2,446,73,33,37
1,6001,6001547930,10,5,2,389,62,31,28
1,6001,6001815140,14,5,2,32,3,NA,NA
1,6001,6001819010,14,10,2,35,5,NA,NA
1,6001,6001821110,14,10,2,2385,236,138,77
1,6001,6001821120,14,10,2,1641,91,43,45
1,6001,6001821210,14,10,2,3339,307,173,107
1,6001,6001821230,14,10,2,149,22,13,4
1,6001,6001821700,14,10,2,3509,309,156,123
1,6001,6001821800,14,10,2,4417,318,170,118
1,6001,6001821900,14,10,2,3677,320,170,114
1,6001,6001821920,14,10,2,227,14,6,4
1,6001,6001822200,14,10,2,4787,368,178,154
1,6001,6001822900,14,10,2,533,61,27,28
1,6001,6001823200,14,10,2,2798,338,198,110
1,6001,6001823300,14,10,2,2364,249,144,80
1,6001,6001823400,14,10,2,2566,193,96,82
1,6001,6001823500,14,10,2,2202,179,83,78
1,6001,6001823710,14,10,2,3679,351,198,126
1,6001,6001823720,14,10,2,1040,86,42,38
1,6001,6001824100,14,10,2,1937,164,70,81
1,6001,6001830320,14,10,2,3126,274,136,119
1,6001,6001830500,14,10,2,4393,412,203,176
1,6001,6001831000,14,10,2,4838,361,188,137
1,6001,6001831200,14,10,2,2166,151,81,56
1,6001,6001831410,14,10,2,4792,365,173,157
1,6001,6001831500,14,10,2,4397,329,150,152
1,6001,6001831710,14,10,2,826,99,45,44
1,6001,6001831730,14,10,2,2031,148,71,62
1,6001,6001831810,14,10,2,3857,311,130,157
1,6001,6001831930,14,10,2,2268,181,85,79
1,6001,6001832010,14,10,2,1443,145,68,61
1,6001,6001832200,14,10,2,3017,323,160,140
1,6001,6001832400,14,10,2,3336,336,137,168
1,6001,6001832500,14,10,2,1980,208,93,99
1,6001,6001832600,14,10,2,4217,409,211,171
1,6001,6001832620,14,10,2,2375,298,145,124
1,6001,6001833010,14,10,2,3536,338,177,125
1,6001,6001833200,14,10,2,3015,270,126,110
1,6001,6001833300,17,10,2,3749,349,145,178
1,6001,6001833400,17,10,2,3705,392,182,181
1,6001,6001833410,17,10,2,3204,300,149,134
1,6001,6001833710,17,10,2,2005,214,100,99
1,6001,6001834200,14,10,2,3180,268,137,108
1,6001,6001834600,14,10,2,2246,194,89,91
1,6001,6001834700,14,10,2,1691,183,84,78
1,6001,6001835020,14,10,2,1828,182,85,83
1,6001,6001835200,14,10,2,1006,111,52,43
1,6001,6001835310,14,10,2,2666,316,167,123
1,6001,6001835500,14,10,2,741,61,40,16
1,6001,6001835710,14,10,2,3197,292,143,123
1,6001,6001835830,14,10,2,1397,145,67,67
1,6001,6001836010,14,10,2,4763,332,166,153
1,6001,6001836500,14,10,2,4481,402,203,171
1,6001,6001837100,14,10,2,2064,176,93,68
1,6001,6001837300,17,10,2,2634,182,94,76
1,6001,6001837600,17,10,2,5476,385,197,174
1,6001,6001837700,17,10,2,2527,196,118,69
1,6001,6001838000,17,10,2,2221,147,83,60
1,6001,6001838120,17,10,2,1461,100,51,41
1,6001,6001838700,17,10,2,4635,491,220,246
1,6001,6001839040,17,10,2,2448,345,196,129
1,6001,6001839100,17,10,2,1294,149,69,74
1,6001,6001839240,14,10,2,1036,118,64,48
1,6001,6001839300,14,10,2,37,1,NA,NA
1,6001,6001850330,17,10,2,4352,484,264,181
1,6001,6001850500,17,10,2,4986,508,237,230
1,6001,6001850800,17,10,2,2446,307,162,126
1,6001,6001851000,17,10,2,4147,356,185,151
1,6001,6001851520,17,10,2,4700,423,217,172
1,6001,6001852010,17,10,2,5109,540,247,241
1,6001,6001866800,14,5,2,553,49,17,28
1,6001,6001866830,14,5,2,115,6,NA,NA
1,6001,6001866910,14,5,2,27,2,NA,NA
1,6001,6001867200,14,5,2,112,7,NA,NA
1,6001,6001870010,14,5,2,505,35,10,24
1,6001,6001870100,14,5,2,268,23,9,12
1,6001,6001,0,0,0,960649,683069,410914,108663
1,6001,6001,0,0,0,132283,108855,62337,0
1,6001,6001,0,0,0,275081,189030,113338,0
1,6001,6001,0,0,0,286856,190487,117051,44647
1,6001,6001,0,0,0,118562,91799,54004,32261
1,6001,6001,0,0,0,147867,102898,64184,31755
1,6001,6001,0,0,0,447487,324446,185176,0
1,6001,6001,0,0,0,425556,296771,187263,89125
1,6001,6001,0,0,0,26506,19701,12354,5983
1,6001,6001,0,0,0,61100,42151,26121,13555
1,6001,6001,0,0,0,407357,297879,175669,0
1,6001,6001,0,0,0,127958,85833,47935,16402
1,6001,6001,0,0,0,278831,186090,120296,52810
1,6001,6001,0,0,0,146503,113267,67014,39451
1,6001,6001,0,0,0,960649,683069,410914,108663
1,6001,6001,0,0,0,961304,683069,0,0
2,6003,60031,3,4,1,200,175,96,75
2,6003,60032,3,4,1,157,114,79,30
2,6003,60033,3,4,1,139,67,46,18
2,6003,60034,3,4,1,236,207,148,52
2,6003,60035,3,4,1,228,186,93,88
2,6003,6003,0,0,0,960,749,462,263
2,6003,6003,0,0,0,960,749,462,263
2,6003,6003,0,0,0,960,749,462,263
2,6003,6003,0,0,0,960,749,462,263
2,6003,6003,0,0,0,960,749,462,263
2,6003,6003,0,0,0,954,749,0,0
3,6005,6005,5,4,1,1310,136,17,114
3,6005,6005,5,4,1,1041,106,21,85
3,6005,6005,5,4,1,763,52,15,33
3,6005,6005,5,4,1,904,74,8,65
3,6005,6005,5,4,1,529,45,7,35
3,6005,6005,5,4,1,2338,267,29,219
3,6005,6005,5,4,1,1440,154,19,127
3,6005,6005,5,4,1,612,50,6,40
3,6005,6005,5,4,1,132,16,0,16
3,6005,6005,5,4,1,300,37,6,29
3,6005,6005,5,4,1,143,3,NA,NA
3,6005,6005,5,4,1,1137,94,18,73
3,6005,6005,5,4,1,686,45,4,39
3,6005,6005,5,4,1,981,94,25,62
3,6005,6005,5,4,1,1350,106,21,83
3,6005,6005,5,4,1,825,69,7,54
3,6005,6005,5,4,1,834,91,24,64
3,6005,6005,5,4,1,1032,66,10,50
3,6005,6005,5,4,1,502,40,6,30
3,6005,6005,5,4,1,790,68,11,53
3,6005,6005,5,4,1,666,46,6,39
3,6005,6005,5,4,1,765,39,5,31
3,6005,6005,5,4,1,805,50,8,42
3,6005,6005,5,4,1,855,69,11,56
3,6005,6005,5,4,1,86,7,NA,NA
3,6005,6005,5,4,1,42,1,NA,NA
3,6005,6005,5,4,1,218,7,NA,NA
3,6005,6005,5,4,1,685,49,8,39
3,6005,6005,5,4,1,872,78,11,65
3,6005,6005,5,4,1,774,94,16,76
3,6005,6005,5,4,1,949,100,13,85
3,6005,6005,5,4,1,32,2,NA,NA
3,6005,6005,5,4,1,12,4,NA,NA
3,6005,6005,5,4,1,147,11,0,11
3,6005,6005,5,4,1,108,14,1,13
3,6005,6005,5,4,1,144,11,2,8
3,6005,6005,5,4,1,27,1,NA,NA
3,6005,6005,5,4,1,99,6,NA,NA
3,6005,6005,5,4,1,102,7,NA,NA
3,6005,6005,5,4,1,61,2,NA,NA
3,6005,6005,5,4,1,631,47,8,39
3,6005,6005,5,4,1,121,4,NA,NA
3,6005,6005,5,4,1,65,4,NA,NA
3,6005,6005,5,4,1,105,10,1,8
3,6005,6005,5,4,1,45,2,NA,NA
3,6005,6005,5,4,1,381,17,4,13
3,6005,6005,5,4,1,75,2,NA,NA
3,6005,6005,0,0,0,26521,22762,7336,14607
3,6005,6005,0,0,0,19944,17255,5982,10664
3,6005,6005,0,0,0,6577,5507,1354,3943
3,6005,6005,0,0,0,26521,22762,7336,14607
3,6005,6005,0,0,0,26521,22762,7336,14607
3,6005,6005,0,0,0,26521,22762,7336,14607
3,6005,6005,0,0,0,26488,22762,0,0
4,6007,60071101,1,1,1,844,29,6,19
4,6007,60071102,1,1,1,1228,26,5,18
4,6007,60071103,1,1,1,99,2,NA,NA
4,6007,60071104,1,1,1,375,11,5,6
4,6007,60071105,1,1,1,478,15,2,11
4,6007,60071106,1,1,1,624,23,8,14
4,6007,60071107,1,1,1,390,14,4,9
4,6007,60071108,1,1,1,866,40,12,25
4,6007,60071109,1,1,1,30,4,NA,NA
4,6007,60071110,1,1,1,1220,39,10,27
4,6007,60071111,1,1,1,199,2,NA,NA
4,6007,60071112,1,1,1,618,13,4,7
4,6007,60071113,1,1,1,18,1,NA,NA
4,6007,60071114,1,1,1,227,9,NA,NA
4,6007,60071115,1,1,1,286,5,NA,NA
4,6007,60071801,1,1,1,54,1,NA,NA
4,6007,60071802,1,1,1,500,18,3,13
4,6007,60071803,1,1,1,382,12,2,10
4,6007,60071804,1,1,1,1259,41,11,28
4,6007,60071805,1,1,1,316,4,NA,NA
4,6007,60071806,1,1,1,878,19,4,10
4,6007,60071807,1,1,1,252,6,NA,NA
4,6007,60071809,1,1,1,209,3,NA,NA
4,6007,60071810,1,1,1,159,3,NA,NA
4,6007,60071812,1,1,1,1504,38,10,23
4,6007,60071813,1,1,1,1132,20,1,15
4,6007,60071814,1,1,1,898,26,5,20
4,6007,60071815,1,1,1,290,10,2,4
4,6007,60071816,1,1,1,1423,24,4,18
4,6007,60071817,1,1,1,1160,22,3,16
4,6007,60071818,1,1,1,1207,25,8,15
4,6007,60071819,1,1,1,564,12,4,8
4,6007,60071820,1,1,1,227,6,NA,NA
4,6007,60071821,1,1,1,1961,47,13,29
